Model,Accuracy,F1,Precision,Recall,C,gamma
SVM_Baseline,0.6409720407629997,0.25358539765319427,0.1667381054436348,0.5292517006802722,1.0,scale
SVM_Tuned,0.662764567546381,0.2636083533036631,0.17612076852698993,0.5238095238095238,1.0,0.01
